20	20	0	16	Cesta pequena avulsa	1	50	50	50		2020-08-07 05:05:50	9999-12-31 00:00:00	1	0	1
21	21	0	16	Cesta pequena mensal	4	154	154	154		2020-08-08 05:05:50	9999-12-31 00:00:00	1	0	1
22	22	0	16	Cesta média avulsa	1	100	100	100		2020-08-09 05:05:50	9999-12-31 00:00:00	1	0	1
23	23	0	16	Cesta média mensal	4	308	308	308		2020-08-10 05:05:50	9999-12-31 00:00:00	1	0	1
24	24	0	16	Cesta grande avulsa	1	150	150	150		2020-08-11 05:05:50	9999-12-31 00:00:00	1	0	1
25	25	0	16	Cesta grande mensal	4	456	456	456		2020-08-12 05:05:50	9999-12-31 00:00:00	1	0	1
26	26	0	3	Abóbora	1 kg	6	6	6		2020-08-13 05:05:50	9999-12-31 00:00:00	1	0	1
27	27	0	3	Abobrinha	1 kg	7	7	7		2020-08-14 05:05:50	9999-12-31 00:00:00	1	0	1
28	28	0	5	Aipim descascado	1 kg	8,5	8,5	8,5		2020-08-15 05:05:50	9999-12-31 00:00:00	1	0	1
29	29	0	4	Batata doce	1 kg	7	7	7		2020-08-16 05:05:50	9999-12-31 00:00:00	1	0	1
30	30	0	17	Batata inglesa	1 kg	10	10	10		2020-08-17 05:05:50	9999-12-31 00:00:00	1	0	1
31	31	0	4	Cebola	1 kg	6	6	6		2020-08-18 05:05:50	9999-12-31 00:00:00	1	0	1
32	32	0	3	Cenoura	1 kg	5	5	5		2020-08-19 05:05:50	9999-12-31 00:00:00	1	0	1
33	33	0	3	Chuchu	1 kg	8	8	8		2020-08-20 05:05:50	9999-12-31 00:00:00	1	0	1
34	34	0	3	Ervilha torta	1 kg	15,6	15,6	15,6		2020-08-21 05:05:50	9999-12-31 00:00:00	1	0	1
35	35	0	3	Inhame	1 kg	9	9	9		2020-08-22 05:05:50	9999-12-31 00:00:00	1	0	1
36	36	0	6	Pepino japonês	1 kg	12,8	12,8	12,8		2020-08-23 05:05:50	9999-12-31 00:00:00	1	0	1
37	37	0	3	Quiabo	1 kg	15,6	15,6	15,6		2020-08-24 05:05:50	9999-12-31 00:00:00	1	0	1
38	38	0	4	Tomate	1 kg	12,5	12,5	12,5		2020-08-25 05:05:50	9999-12-31 00:00:00	1	0	1
39	39	0	3	Vagem manteiga	1 kg	15,6	15,6	15,6		2020-08-26 05:05:50	9999-12-31 00:00:00	1	0	1
40	40	0	6	Berinjela rajada	1 kg	15,6	15,6	15,6		2020-08-27 05:05:50	9999-12-31 00:00:00	1	0	1
41	41	0	6	Beterraba amarela	4 unid.	10	10	10		2020-08-28 05:05:50	9999-12-31 00:00:00	1	0	1
42	42	0	6	Beterraba gioggia (rosa)	4 unid.	10	10	10		2020-08-29 05:05:50	9999-12-31 00:00:00	1	0	1
43	43	0	6	Brócolis romanesco	1 unid.	18	18	18		2020-08-30 05:05:50	9999-12-31 00:00:00	1	0	1
44	44	0	6	Cenoura amarela	6 unid.	10	10	10		2020-08-31 05:05:50	9999-12-31 00:00:00	1	0	1
45	45	0	6	Cenoura roxa	6 unid.	10	10	10		2020-09-01 05:05:50	9999-12-31 00:00:00	1	0	1
